Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
0222261,53.61,8.6,0.69,0.68,0.87,1.19,Low
0222270,58.66,8.47,0.61,0.74,0.97,1.32,Rollish
0222306,40.23,7.8,0.59,0.50,0.60,0.86,Low
0222315,42.02,8.12,0.66,0.53,0.64,0.90,Medium
0222324,45.38,7.45,0.47,0.57,0.71,0.98,Rollish
0222333,47.1,7.85,0.55,0.59,0.74,1.03,Rollish
0222342,51.7,7.88,0.52,0.65,0.83,1.14,Rollish
0222351,53.41,8.35,0.62,0.67,0.87,1.19,Rollish
0222360,58.45,8.43,0.61,0.74,0.97,1.31,Rollish
0222405,43.99,8.18,0.66,0.55,0.68,0.95,Low
0222414,45.97,7.76,0.54,0.58,0.72,1.00,Rollish
0222423,47.66,8.31,0.66,0.60,0.75,1.04,Low
0222432,51.87,7.91,0.53,0.65,0.84,1.15,Rollish
0222441,53.52,8.33,0.62,0.68,0.87,1.19,Rollish
0222450,58.39,8.43,0.6,0.74,0.97,1.31,Rollish
0222504,47.16,8.36,0.68,0.59,0.74,1.03,Low
0222513,49.12,8.8,0.77,0.62,0.78,1.08,Low
0222522,52.3,8.06,0.56,0.66,0.85,1.16,Rollish
0222531,53.89,8.56,0.67,0.68,0.88,1.20,Rollish
0222540,58.53,8.46,0.61,0.74,0.97,1.31,Rollish
0222603,51.2,8.72,0.74,0.65,0.82,1.13,Low
0222612,53.11,8.46,0.65,0.67,0.86,1.18,Rollish
0222621,54.82,9.07,0.8,0.69,0.90,1.22,Low
0222630,58.9,8.54,0.63,0.74,0.98,1.32,Rollish
0222702,54.49,9.09,0.81,0.69,0.89,1.21,Low
0222711,56.57,9.41,0.88,0.71,0.93,1.26,Low
0222720,59.5,8.75,0.68,0.75,0.99,1.34,Rollish
0222801,58.63,9.29,0.83,0.74,0.97,1.32,Low
0222810,60.47,9.2,0.79,0.76,1.01,1.36,Low
0222900,62.04,9.79,0.95,0.78,1.04,1.40,Low
0223008,35.37,8.03,0.69,0.44,0.51,0.73,Medium
0223017,37.54,8.01,0.67,0.47,0.55,0.79,Medium
0223026,40.17,7.75,0.58,0.50,0.60,0.85,Low
0223035,43.41,8.17,0.66,0.55,0.67,0.94,Low
0223044,46.41,8.1,0.62,0.58,0.73,1.01,Low
0223053,49.94,8.74,0.75,0.63,0.80,1.10,Low
0223062,53.09,8.67,0.71,0.67,0.86,1.18,Low
0223071,56.79,9.27,0.84,0.72,0.94,1.27,Low
0223080,60.01,9.2,0.8,0.76,1.00,1.35,Low
0223107,38.05,8.17,0.7,0.48,0.56,0.80,Medium
0223116,40.07,7.78,0.59,0.50,0.60,0.85,Low
0223125,42.12,8.23,0.68,0.53,0.64,0.90,Medium
0223134,45.83,7.68,0.52,0.58,0.72,1.00,Rollish
0223143,48.27,8.48,0.7,0.61,0.77,1.06,Low
0223152,52.29,8.21,0.6,0.66,0.85,1.16,Rollish
0223161,54.88,9.06,0.8,0.69,0.90,1.22,Low
0223170,59.12,8.75,0.68,0.75,0.98,1.33,Rollish
0223206,40.94,8.17,0.68,0.51,0.62,0.87,Medium
0223215,42.48,8.35,0.71,0.53,0.65,0.91,Medium
0223224,45.74,7.66,0.52,0.58,0.71,0.99,Rollish
0223233,47.52,8.1,0.61,0.60,0.75,1.04,Low
0223242,51.99,8,0.55,0.66,0.84,1.15,Rollish
0223251,53.81,8.56,0.67,0.68,0.88,1.20,Rollish
0223260,58.68,8.53,0.63,0.74,0.97,1.32,Rollish
0223305,44.3,8.31,0.69,0.56,0.69,0.96,Medium
0223314,46.21,7.93,0.58,0.58,0.72,1.01,Rollish
0223323,47.86,8.26,0.65,0.60,0.76,1.05,Low
0223332,51.99,7.97,0.54,0.66,0.84,1.15,Rollish
0223341,53.65,8.22,0.59,0.68,0.87,1.19,Rollish
0223350,58.47,8.46,0.61,0.74,0.97,1.31,Rollish
0223404,47.29,8.43,0.69,0.60,0.75,1.03,Low
0223413,49.21,8.73,0.75,0.62,0.78,1.08,Low
0223422,52.29,8.1,0.57,0.66,0.85,1.16,Rollish
0223431,53.9,8.38,0.63,0.68,0.88,1.20,Rollish
0223440,58.48,8.47,0.61,0.74,0.97,1.31,Rollish
0223503,51.18,8.71,0.73,0.65,0.82,1.13,Low
0223512,53.03,8.46,0.65,0.67,0.86,1.18,Rollish
0223521,54.72,8.94,0.77,0.69,0.89,1.22,Low
0223530,58.76,8.52,0.62,0.74,0.98,1.32,Rollish
0223602,54.37,9.05,0.8,0.69,0.89,1.21,Low
0223611,56.41,9.34,0.86,0.71,0.93,1.26,Low
0223620,59.32,8.71,0.67,0.75,0.99,1.33,Rollish
0223701,58.45,9.23,0.82,0.74,0.97,1.31,Low
0223710,60.25,9.15,0.78,0.76,1.01,1.36,Low
0223800,61.79,9.72,0.93,0.78,1.04,1.39,Low
0224007,39.48,8.37,0.74,0.49,0.59,0.84,Medium
0224016,41.54,8.43,0.74,0.52,0.63,0.89,Medium
0224025,44.37,8.52,0.74,0.56,0.69,0.96,Medium
0224034,47.19,8.41,0.69,0.59,0.74,1.03,Low
0224043,50.6,8.86,0.78,0.64,0.81,1.12,Low
0224052,53.62,8.91,0.77,0.68,0.87,1.19,Low
0224061,57.28,9.4,0.87,0.72,0.95,1.28,Low
0224070,60.42,9.43,0.86,0.76,1.01,1.36,Low
0224106,42.12,8.54,0.76,0.53,0.64,0.90,Medium
0224115,43.71,8.77,0.81,0.55,0.67,0.94,Medium
0224124,46.63,8.18,0.64,0.59,0.73,1.02,Low
0224133,49.04,8.8,0.77,0.62,0.78,1.08,Low
0224142,52.77,8.43,0.65,0.67,0.86,1.17,Rollish
0224151,55.39,9.26,0.85,0.70,0.91,1.23,Low
0224160,59.39,8.93,0.73,0.75,0.99,1.33,Rollish
0224205,44.99,8.72,0.79,0.57,0.70,0.97,Medium
0224214,46.9,8.35,0.68,0.59,0.74,1.02,Low
0224223,48.58,8.75,0.76,0.61,0.77,1.06,Low
0224232,52.51,8.22,0.6,0.66,0.85,1.16,Rollish
0224241,54.39,8.78,0.73,0.69,0.89,1.21,Low
0224250,58.91,8.66,0.66,0.74,0.98,1.32,Rollish
0224304,47.9,8.78,0.78,0.60,0.76,1.05,Medium
0224313,49.66,8.94,0.81,0.63,0.79,1.09,Medium
0224322,52.63,8.31,0.62,0.66,0.85,1.17,Rollish
0224331,54.31,8.59,0.68,0.69,0.89,1.21,Rollish
0224340,58.75,8.58,0.64,0.74,0.98,1.32,Rollish
0224403,51.49,8.91,0.78,0.65,0.83,1.14,Low
0224412,53.26,8.64,0.7,0.67,0.87,1.18,Low
0224421,54.96,9.02,0.79,0.69,0.90,1.22,Low
0224430,58.88,8.6,0.64,0.74,0.98,1.32,Rollish
0224502,54.55,9.16,0.83,0.69,0.89,1.21,Low
0224511,56.51,9.42,0.89,0.71,0.93,1.26,Low
0224520,59.34,8.78,0.69,0.75,0.99,1.33,Rollish
0224601,58.47,9.31,0.84,0.74,0.97,1.31,Low
0224610,60.23,9.2,0.79,0.76,1.00,1.36,Low
0224700,61.74,9.76,0.94,0.78,1.03,1.39,Low
0225006,43.58,8.87,0.84,0.55,0.67,0.94,Medium
0225015,45.77,8.96,0.84,0.58,0.72,0.99,Medium
0225024,48.31,8.91,0.81,0.61,0.77,1.06,Medium
0225033,51.46,9.1,0.84,0.65,0.83,1.14,Medium
0225042,54.38,9.18,0.83,0.69,0.89,1.21,Low
0225051,57.88,9.57,0.92,0.73,0.96,1.30,Low
0225060,60.98,9.68,0.92,0.77,1.02,1.37,Low
0225105,46.12,9.04,0.86,0.58,0.72,1.00,Medium
0225114,48.11,8.89,0.81,0.61,0.76,1.05,Medium
0225123,50.24,9.3,0.9,0.63,0.80,1.11,Medium
0225132,53.6,8.75,0.73,0.68,0.87,1.19,Low
0225141,56.17,9.48,0.91,0.71,0.92,1.25,Low
0225150,59.92,9.16,0.79,0.76,1.00,1.35,Low
0225204,49.01,9.21,0.88,0.62,0.78,1.08,Medium
0225213,50.51,9.35,0.91,0.64,0.81,1.11,Medium
0225222,53.42,8.7,0.71,0.67,0.87,1.19,Low
0225231,55.28,9.2,0.83,0.70,0.91,1.23,Low
0225240,59.45,8.86,0.71,0.75,0.99,1.34,Rollish
0225303,52.17,9.23,0.87,0.66,0.84,1.15,Medium
0225312,53.92,8.98,0.78,0.68,0.88,1.20,Low
0225321,55.57,9.3,0.86,0.70,0.91,1.24,Low
0225330,59.37,8.8,0.69,0.75,0.99,1.33,Rollish
0225402,55.07,9.42,0.9,0.70,0.90,1.23,Low
0225411,56.93,9.59,0.93,0.72,0.94,1.27,Low
0225420,59.68,8.96,0.73,0.75,0.99,1.34,Rollish
0225501,58.78,9.49,0.89,0.74,0.98,1.32,Low
0225510,60.48,9.34,0.83,0.76,1.01,1.36,Low
0225600,61.92,9.86,0.97,0.78,1.04,1.40,Low
0226005,47.81,9.26,0.91,0.60,0.76,1.05,Medium
0226014,49.94,9.44,0.94,0.63,0.80,1.10,Medium
0226023,52.67,9.45,0.92,0.66,0.85,1.17,Medium
0226032,55.41,9.49,0.91,0.70,0.91,1.24,Medium
0226041,58.74,9.72,0.95,0.74,0.97,1.32,Low
0226050,61.74,9.91,0.99,0.78,1.03,1.39,Low
0226104,50.36,9.45,0.94,0.63,0.81,1.11,Medium
0226113,52.07,9.7,1,0.66,0.84,1.15,Medium
0226122,54.78,9.29,0.86,0.69,0.90,1.22,Low
0226131,57.22,9.8,0.99,0.72,0.94,1.28,Medium
0226140,60.71,9.43,0.85,0.77,1.01,1.37,Low
0226203,53.15,9.63,0.97,0.67,0.86,1.18,Medium
0226212,55,9.43,0.9,0.69,0.90,1.23,Medium
0226221,56.73,9.8,0.99,0.72,0.93,1.27,Medium
0226230,60.31,9.18,0.79,0.76,1.01,1.36,Low
0226302,56.04,9.8,1,0.71,0.92,1.25,Medium
0226311,57.71,9.87,1,0.73,0.95,1.29,Medium
0226320,60.4,9.27,0.81,0.76,1.01,1.36,Low
0226401,59.43,9.77,0.96,0.75,0.99,1.34,Low
0226410,61.08,9.61,0.9,0.77,1.02,1.38,Low
0226500,62.4,10.04,1.02,0.79,1.05,1.41,Low
0227004,52.03,9.75,1.02,0.66,0.84,1.15,Medium
0227013,54.28,9.83,1.02,0.69,0.89,1.21,Medium
0227022,56.76,9.93,1.03,0.72,0.94,1.27,Medium
0227031,59.8,9.97,1.02,0.76,1.00,1.35,Medium
0227040,62.67,10.15,1.05,0.79,1.05,1.42,Low
0227103,54.53,9.92,1.05,0.69,0.89,1.21,Medium
0227112,56.5,9.9,1.02,0.71,0.93,1.26,Medium
0227121,58.7,10.2,1.1,0.74,0.97,1.32,Medium
0227130,61.77,9.79,0.95,0.78,1.04,1.39,Low
0227202,57.4,10.11,1.08,0.73,0.95,1.29,Medium
0227211,58.88,10.24,1.11,0.74,0.98,1.32,Medium
0227220,61.54,9.73,0.93,0.78,1.03,1.39,Low
0227301,60.37,10.13,1.06,0.76,1.01,1.36,Medium
0227310,62.05,9.99,1.01,0.78,1.04,1.40,Low
0227400,63.23,10.34,1.11,0.80,1.06,1.43,Medium
0228003,56.33,10.14,1.1,0.71,0.93,1.26,Medium
0228012,58.52,10.33,1.14,0.74,0.97,1.31,Medium
0228021,61.15,10.32,1.11,0.77,1.02,1.38,Medium
0228030,63.85,10.45,1.13,0.81,1.08,1.45,Medium
0228102,58.81,10.31,1.13,0.74,0.98,1.32,Medium
0228111,60.64,10.53,1.18,0.77,1.01,1.37,Medium
0228120,63.16,10.3,1.09,0.80,1.06,1.43,Medium
0228201,61.54,10.47,1.16,0.78,1.03,1.39,Medium
0228210,63.37,10.4,1.12,0.80,1.07,1.43,Medium
0228300,64.43,10.67,1.2,0.82,1.09,1.46,Medium
0229002,60.62,10.56,1.19,0.77,1.01,1.37,Medium
0229011,62.86,10.68,1.21,0.80,1.06,1.42,Medium
0229020,65.33,10.82,1.24,0.83,1.11,1.48,Medium
0229101,63.07,10.75,1.23,0.80,1.06,1.43,Medium
0229110,65.02,10.8,1.24,0.82,1.10,1.48,Medium
0229200,65.85,10.86,1.25,0.83,1.12,1.50,Medium
022A001,64.93,10.94,1.28,0.82,1.10,1.47,Medium
022A010,67.15,11.12,1.32,0.85,1.14,1.53,Medium
022A100,67.35,11.1,1.32,0.85,1.15,1.53,Medium
022B000,69.24,11.33,1.38,0.88,1.18,1.58,Medium
023000A,29.05,7.66,0.65,0.36,0.38,0.58,High
0230019,31.16,7.59,0.62,0.39,0.42,0.63,Medium
0230028,34.13,7.57,0.59,0.43,0.48,0.70,Medium
0230037,37.25,7.7,0.59,0.47,0.55,0.78,Medium
0230046,40.59,8.05,0.65,0.51,0.61,0.86,Medium
0230055,43.87,8.29,0.68,0.55,0.68,0.95,Medium
0230064,47.37,8.64,0.75,0.60,0.75,1.03,Medium
0230073,50.77,8.83,0.77,0.64,0.82,1.12,Low
0230082,54.32,9.18,0.84,0.69,0.89,1.21,Low
0230091,57.74,9.37,0.86,0.73,0.95,1.29,Low
02300A0,61.31,9.7,0.93,0.78,1.03,1.38,Low
0230109,31.71,7.72,0.64,0.39,0.43,0.64,Medium
0230118,34.06,7.66,0.61,0.43,0.48,0.70,Medium
0230127,36.79,7.86,0.63,0.46,0.54,0.77,Medium
0230136,40.11,7.82,0.6,0.50,0.60,0.85,Low
0230145,43.24,8.29,0.69,0.54,0.66,0.93,Medium
0230154,46.73,8.41,0.69,0.59,0.73,1.02,Low
0230163,50.01,8.87,0.78,0.63,0.80,1.10,Low
0230172,53.61,8.96,0.78,0.68,0.87,1.19,Low
0230181,56.96,9.39,0.87,0.72,0.94,1.27,Low
0230190,60.58,9.49,0.87,0.77,1.01,1.36,Low
0230208,34.86,7.91,0.66,0.44,0.50,0.72,Medium
0230217,37.1,7.94,0.65,0.46,0.54,0.78,Medium
0230226,40.15,7.86,0.61,0.50,0.60,0.85,Medium
0230235,43.11,8.22,0.67,0.54,0.66,0.93,Medium
0230244,46.59,8.32,0.67,0.59,0.73,1.01,Low
0230253,49.7,8.8,0.77,0.63,0.79,1.09,Low
0230262,53.35,8.88,0.76,0.67,0.87,1.18,Low
0230271,56.58,9.34,0.86,0.71,0.93,1.26,Low
0230280,60.29,9.41,0.85,0.76,1.01,1.36,Low
0230307,38.32,7.94,0.64,0.48,0.57,0.81,Medium
0230316,40.66,8.03,0.65,0.51,0.61,0.87,Medium
0230325,43.36,8.3,0.69,0.54,0.67,0.93,Medium
0230334,46.74,8.3,0.66,0.59,0.73,1.02,Low
0230343,49.74,8.74,0.75,0.63,0.79,1.09,Low
0230352,53.31,8.87,0.76,0.67,0.87,1.18,Low
0230361,56.45,9.31,0.85,0.71,0.93,1.26,Low
0230370,60.16,9.4,0.85,0.76,1.00,1.35,Low
0230406,41.85,8.44,0.74,0.53,0.64,0.90,Medium
0230415,44.11,8.48,0.73,0.55,0.68,0.95,Medium
0230424,47.04,8.42,0.69,0.59,0.74,1.03,Low
0230433,49.94,8.79,0.76,0.63,0.80,1.10,Low
0230442,53.4,8.89,0.76,0.67,0.87,1.19,Low
0230451,56.46,9.33,0.86,0.71,0.93,1.26,Low
0230460,60.1,9.42,0.86,0.76,1.00,1.35,Low
0230505,45.49,8.57,0.74,0.57,0.71,0.99,Medium
0230514,47.74,8.72,0.76,0.60,0.75,1.04,Medium
0230523,50.41,8.96,0.81,0.64,0.81,1.11,Medium
0230532,53.69,8.91,0.77,0.68,0.87,1.19,Low
0230541,56.64,9.34,0.86,0.72,0.93,1.27,Low
0230550,60.18,9.43,0.86,0.76,1.00,1.35,Low
0230604,49.13,9.11,0.86,0.62,0.78,1.08,Medium
0230613,51.4,9.1,0.84,0.65,0.83,1.14,Medium
0230622,54.17,9.05,0.8,0.68,0.88,1.20,Low
0230631,57.03,9.39,0.87,0.72,0.94,1.28,Low
0230640,60.43,9.44,0.86,0.76,1.01,1.36,Low
0230703,52.91,9.2,0.85,0.67,0.86,1.17,Low
0230712,55.07,9.38,0.88,0.70,0.90,1.23,Low
0230721,57.7,9.55,0.91,0.73,0.95,1.29,Low
0230730,60.85,9.48,0.87,0.77,1.02,1.37,Low
0230802,56.6,9.72,0.97,0.71,0.93,1.27,Medium
0230811,58.83,9.69,0.94,0.74,0.98,1.32,Low
0230820,61.47,9.67,0.92,0.78,1.03,1.39,Low
0230901,60.42,9.82,0.97,0.76,1.01,1.36,Low
0230910,62.52,10.02,1.01,0.79,1.05,1.41,Low
0230A00,64.14,10.3,1.09,0.81,1.08,1.45,Medium
0231009,32.39,7.98,0.7,0.40,0.45,0.66,High
0231018,34.28,7.77,0.63,0.43,0.49,0.71,Medium
0231027,37.1,7.78,0.61,0.46,0.54,0.78,Medium
0231036,40.06,7.69,0.57,0.50,0.60,0.85,Low
0231045,43.46,8.14,0.65,0.55,0.67,0.94,Low
0231054,46.58,8.26,0.66,0.59,0.73,1.01,Low
0231063,50.19,8.72,0.74,0.63,0.80,1.10,Low
0231072,53.43,8.81,0.74,0.67,0.87,1.19,Low
0231081,57.12,9.25,0.83,0.72,0.94,1.28,Low
0231090,60.39,9.35,0.83,0.76,1.01,1.36,Low
0231108,35,8.07,0.7,0.44,0.50,0.73,Medium
0231117,36.71,8.18,0.71,0.46,0.53,0.77,Medium
0231126,39.69,7.58,0.55,0.50,0.59,0.84,Low
0231135,42.38,8.18,0.67,0.53,0.65,0.91,Medium
0231144,45.99,7.94,0.58,0.58,0.72,1.00,Low
0231153,48.87,8.74,0.76,0.62,0.78,1.07,Low
0231162,52.7,8.49,0.66,0.66,0.85,1.17,Rollish
0231171,55.7,9.27,0.85,0.70,0.91,1.24,Low
0231180,59.62,9.03,0.75,0.75,0.99,1.34,Rollish
0231207,38.04,8.14,0.69,0.48,0.56,0.80,Medium
0231216,40,7.86,0.61,0.50,0.60,0.85,Medium
0231225,42.2,8.23,0.68,0.53,0.64,0.91,Medium
0231234,45.85,7.86,0.57,0.58,0.72,1.00,Rollish
0231243,48.4,8.5,0.7,0.61,0.77,1.06,Low
0231252,52.37,8.38,0.64,0.66,0.85,1.16,Rollish
0231261,55.02,9.09,0.8,0.69,0.90,1.23,Low
0231270,59.22,8.92,0.73,0.75,0.98,1.33,Rollish
0231306,41.12,8.28,0.7,0.52,0.62,0.88,Medium
0231315,43.13,8.4,0.72,0.54,0.66,0.93,Medium
0231324,46.06,7.97,0.59,0.58,0.72,1.00,Low
0231333,48.49,8.42,0.68,0.61,0.77,1.06,Low
0231342,52.35,8.36,0.63,0.66,0.85,1.16,Rollish
0231351,54.9,8.94,0.76,0.69,0.90,1.22,Low
0231360,59.05,8.88,0.72,0.75,0.98,1.33,Rollish
0231405,44.81,8.41,0.71,0.56,0.70,0.97,Medium
0231414,46.73,8.31,0.67,0.59,0.73,1.02,Low
0231423,48.97,8.73,0.76,0.62,0.78,1.07,Low
0231432,52.55,8.39,0.64,0.66,0.85,1.16,Rollish
0231441,55,8.93,0.76,0.69,0.90,1.23,Low
0231450,59.02,8.89,0.72,0.75,0.98,1.33,Rollish
0231504,48.09,8.85,0.79,0.61,0.76,1.05,Medium
0231513,50.2,9.01,0.82,0.63,0.80,1.11,Medium
0231522,53.01,8.56,0.68,0.67,0.86,1.18,Low
0231531,55.33,9.08,0.8,0.70,0.91,1.23,Low
0231540,59.19,8.92,0.73,0.75,0.98,1.33,Rollish
0231603,52.02,8.95,0.79,0.66,0.84,1.15,Low
0231612,53.89,8.97,0.78,0.68,0.88,1.20,Low
0231621,56.13,9.4,0.88,0.71,0.92,1.25,Low
0231630,59.59,9,0.74,0.75,0.99,1.34,Rollish
0231702,55.43,9.5,0.92,0.70,0.91,1.24,Medium
0231711,57.6,9.58,0.92,0.73,0.95,1.29,Low
0231720,60.22,9.21,0.8,0.76,1.00,1.36,Low
0231801,59.43,9.52,0.89,0.75,0.99,1.34,Low
0231810,61.27,9.65,0.91,0.77,1.03,1.38,Low
0231900,62.95,10.12,1.04,0.80,1.06,1.42,Low
0232008,35.99,8.31,0.75,0.45,0.52,0.75,High
0232017,37.96,8.14,0.7,0.48,0.56,0.80,Medium
0232026,40.38,7.78,0.59,0.51,0.61,0.86,Low
0232035,43.69,8.12,0.64,0.55,0.67,0.94,Low
0232044,46.53,8.04,0.6,0.59,0.73,1.01,Low
0232053,50.17,8.65,0.73,0.63,0.80,1.10,Low
0232062,53.17,8.59,0.69,0.67,0.86,1.18,Low
0232071,57.01,9.18,0.81,0.72,0.94,1.28,Low
0232080,60.08,9.13,0.77,0.76,1.00,1.35,Low
0232107,38.65,8.43,0.76,0.48,0.57,0.82,Medium
0232116,40.48,7.99,0.64,0.51,0.61,0.86,Medium
0232125,42.58,8.36,0.71,0.53,0.65,0.91,Medium
0232134,46.12,7.75,0.54,0.58,0.72,1.00,Rollish
0232143,48.7,8.56,0.71,0.61,0.77,1.07,Low
0232152,52.54,8.24,0.6,0.66,0.85,1.16,Rollish
0232161,55.29,9.12,0.81,0.70,0.91,1.23,Low
0232170,59.35,8.77,0.68,0.75,0.99,1.33,Rollish
0232206,41.41,8.43,0.74,0.52,0.63,0.89,Medium
0232215,43.06,8.53,0.75,0.54,0.66,0.93,Medium
0232224,46.08,7.84,0.56,0.58,0.72,1.00,Rollish
0232233,48.12,8.31,0.66,0.61,0.76,1.05,Low
0232242,52.28,8.12,0.58,0.66,0.85,1.16,Rollish
0232251,54.42,8.76,0.72,0.69,0.89,1.21,Low
0232260,58.94,8.62,0.65,0.74,0.98,1.32,Rollish
0232305,44.82,8.45,0.72,0.56,0.70,0.97,Medium
0232314,46.6,8.16,0.63,0.59,0.73,1.02,Low
0232323,48.49,8.48,0.69,0.61,0.77,1.06,Low
0232332,52.31,8.12,0.58,0.66,0.85,1.16,Rollish
0232341,54.33,8.51,0.66,0.69,0.89,1.21,Rollish
0232350,58.76,8.59,0.64,0.74,0.98,1.32,Rollish
0232404,47.78,8.66,0.75,0.60,0.76,1.04,Low
0232413,49.78,8.87,0.79,0.63,0.80,1.09,Low
0232422,52.66,8.28,0.61,0.66,0.85,1.17,Rollish
0232431,54.58,8.65,0.69,0.69,0.89,1.21,Low
0232440,58.81,8.6,0.65,0.74,0.98,1.32,Rollish
0232503,51.67,8.82,0.76,0.65,0.83,1.14,Low
0232512,53.45,8.67,0.7,0.67,0.87,1.19,Low
0232521,55.37,9.13,0.81,0.70,0.91,1.23,Low
0232530,59.13,8.67,0.66,0.75,0.98,1.33,Rollish
0232602,54.86,9.24,0.85,0.69,0.90,1.22,Low
0232611,56.97,9.44,0.89,0.72,0.94,1.27,Low
0232620,59.7,8.88,0.71,0.75,0.99,1.34,Rollish
0232701,58.92,9.33,0.84,0.74,0.98,1.32,Low
0232710,60.68,9.33,0.83,0.77,1.01,1.37,Low
0232800,62.27,9.88,0.97,0.79,1.05,1.41,Low
0233007,39.89,8.49,0.77,0.50,0.60,0.85,Medium
0233016,41.64,8.46,0.74,0.52,0.63,0.89,Medium
0233025,44.47,8.36,0.7,0.56,0.69,0.96,Medium
0233034,47.07,8.22,0.64,0.59,0.74,1.03,Low
0233043,50.63,8.62,0.72,0.64,0.81,1.12,Low
0233052,53.43,8.67,0.71,0.67,0.87,1.19,Low
0233061,57.27,9.15,0.8,0.72,0.95,1.28,Low
0233070,60.2,9.18,0.79,0.76,1.00,1.36,Low
0233106,42.47,8.73,0.81,0.53,0.65,0.91,Medium
0233115,44.02,8.76,0.8,0.55,0.68,0.95,Medium
0233124,46.74,8.15,0.63,0.59,0.73,1.02,Low
0233133,49.23,8.65,0.73,0.62,0.78,1.08,Low
0233142,52.8,8.32,0.62,0.67,0.86,1.17,Rollish
0233151,55.54,9.08,0.8,0.70,0.91,1.24,Low
0233160,59.38,8.8,0.69,0.75,0.99,1.33,Rollish
0233205,45.35,8.75,0.79,0.57,0.71,0.98,Medium
0233214,47.1,8.45,0.7,0.59,0.74,1.03,Low
0233223,48.9,8.68,0.74,0.62,0.78,1.07,Low
0233232,52.62,8.22,0.6,0.66,0.85,1.17,Rollish
0233241,54.68,8.68,0.7,0.69,0.89,1.22,Low
0233250,58.99,8.63,0.65,0.75,0.98,1.32,Rollish
0233304,48.15,8.85,0.79,0.61,0.76,1.05,Medium
0233313,50.01,8.9,0.79,0.63,0.80,1.10,Low
0233322,52.81,8.35,0.63,0.67,0.86,1.17,Rollish
0233331,54.66,8.54,0.66,0.69,0.89,1.22,Rollish
0233340,58.88,8.59,0.64,0.74,0.98,1.32,Rollish
0233403,51.8,8.88,0.77,0.65,0.84,1.15,Low
0233412,53.47,8.71,0.72,0.67,0.87,1.19,Low
0233421,55.34,8.98,0.77,0.70,0.91,1.23,Low
0233430,59.05,8.63,0.65,0.75,0.98,1.33,Rollish
0233502,54.81,9.2,0.84,0.69,0.90,1.22,Low
0233511,56.86,9.37,0.87,0.72,0.94,1.27,Low
0233520,59.54,8.82,0.7,0.75,0.99,1.34,Rollish
0233601,58.77,9.28,0.83,0.74,0.98,1.32,Low
0233610,60.46,9.26,0.81,0.76,1.01,1.36,Low
0233700,62,9.79,0.95,0.78,1.04,1.40,Low
0234006,43.76,8.97,0.86,0.55,0.68,0.94,Medium
0234015,45.78,8.88,0.82,0.58,0.72,0.99,Medium
0234024,48.1,8.78,0.78,0.61,0.76,1.05,Medium
0234033,51.33,8.86,0.77,0.65,0.83,1.13,Low
0234042,54.05,8.92,0.77,0.68,0.88,1.20,Low
0234051,57.69,9.28,0.84,0.73,0.95,1.29,Low
0234060,60.59,9.41,0.85,0.77,1.01,1.36,Low
0234105,46.34,9.08,0.87,0.58,0.73,1.01,Medium
0234114,48.13,8.93,0.82,0.61,0.76,1.05,Medium
0234123,50.28,9.14,0.86,0.63,0.81,1.11,Medium
0234132,53.45,8.63,0.69,0.67,0.87,1.19,Low
0234141,56.15,9.26,0.84,0.71,0.92,1.25,Low
0234150,59.71,8.99,0.74,0.75,0.99,1.34,Rollish
0234204,49.11,9.26,0.9,0.62,0.78,1.08,Medium
0234213,50.68,9.28,0.89,0.64,0.81,1.12,Medium
0234222,53.39,8.69,0.71,0.67,0.87,1.18,Low
0234231,55.39,9.04,0.79,0.70,0.91,1.23,Low
0234240,59.35,8.8,0.69,0.75,0.99,1.33,Rollish
0234303,52.33,9.2,0.86,0.66,0.85,1.16,Medium
0234312,53.96,9.02,0.79,0.68,0.88,1.20,Low
0234321,55.74,9.19,0.83,0.70,0.91,1.24,Low
0234330,59.35,8.79,0.69,0.75,0.99,1.33,Rollish
0234402,55.17,9.42,0.9,0.70,0.90,1.23,Low
0234411,57.11,9.51,0.91,0.72,0.94,1.28,Low
0234420,59.7,8.97,0.74,0.75,0.99,1.34,Rollish
0234501,58.92,9.44,0.87,0.74,0.98,1.32,Low
0234510,60.54,9.37,0.84,0.77,1.01,1.36,Low
0234600,62.04,9.86,0.97,0.78,1.04,1.40,Low
0235005,47.82,9.27,0.91,0.60,0.76,1.05,Medium
0235014,49.76,9.4,0.93,0.63,0.80,1.09,Medium
0235023,52.44,9.26,0.87,0.66,0.85,1.16,Medium
0235032,55,9.29,0.86,0.69,0.90,1.23,Low
0235041,58.42,9.45,0.88,0.74,0.97,1.31,Low
0235050,61.23,9.65,0.91,0.77,1.02,1.38,Low
0235104,50.4,9.5,0.95,0.64,0.81,1.11,Medium
0235113,52.04,9.63,0.98,0.66,0.84,1.15,Medium
0235122,54.56,9.22,0.84,0.69,0.89,1.21,Low
0235131,57.07,9.61,0.93,0.72,0.94,1.28,Low
0235140,60.39,9.26,0.81,0.76,1.01,1.36,Low
0235203,53.22,9.6,0.96,0.67,0.86,1.18,Medium
0235212,54.91,9.45,0.91,0.69,0.90,1.22,Medium
0235221,56.71,9.68,0.96,0.72,0.93,1.27,Medium
0235230,60.11,9.12,0.77,0.76,1.00,1.35,Low
0235302,56.01,9.8,1,0.71,0.92,1.25,Medium
