Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
2212152,55.04,8.75,0.71,0.69,0.90,1.23,Low
2212161,58.2,9.24,0.82,0.74,0.96,1.31,Low
2212170,61.83,9.25,0.8,0.78,1.04,1.40,Low
2212206,44.19,8.75,0.8,0.56,0.68,0.95,Medium
2212215,45.9,8.74,0.78,0.58,0.72,1.00,Medium
2212224,48.59,8.33,0.66,0.61,0.77,1.06,Low
2212233,51.25,8.64,0.71,0.65,0.83,1.13,Low
2212242,54.67,8.52,0.66,0.69,0.89,1.22,Rollish
2212251,57.6,9.07,0.78,0.73,0.95,1.29,Low
2212260,61.26,9.01,0.73,0.77,1.03,1.38,Rollish
2212305,47.33,8.82,0.79,0.60,0.75,1.03,Medium
2212314,49.29,8.65,0.73,0.62,0.79,1.08,Low
2212323,51.54,8.78,0.75,0.65,0.83,1.14,Low
2212332,54.73,8.51,0.65,0.69,0.89,1.22,Rollish
2212341,57.51,8.95,0.75,0.73,0.95,1.29,Low
2212350,61.07,8.92,0.71,0.77,1.02,1.38,Rollish
2212404,50.66,9.01,0.82,0.64,0.81,1.12,Medium
2212413,52.52,9.08,0.82,0.66,0.85,1.16,Low
2212422,55.16,8.77,0.72,0.70,0.90,1.23,Low
2212431,57.73,9.05,0.77,0.73,0.95,1.29,Low
2212440,61.14,8.95,0.72,0.77,1.02,1.38,Rollish
2212503,54.15,9.23,0.85,0.68,0.88,1.20,Low
2212512,56.15,9.18,0.82,0.71,0.92,1.25,Low
2212521,58.37,9.36,0.85,0.74,0.97,1.31,Low
2212530,61.49,9.08,0.75,0.78,1.03,1.39,Rollish
2212602,57.72,9.54,0.91,0.73,0.95,1.29,Low
2212611,59.64,9.64,0.92,0.75,0.99,1.34,Low
2212620,62.2,9.39,0.83,0.79,1.04,1.41,Low
2212701,61.4,9.78,0.95,0.78,1.03,1.39,Low
2212710,63.41,9.8,0.94,0.80,1.07,1.44,Low
2212800,65.08,10.12,1.02,0.82,1.10,1.48,Low
2213007,42.59,8.89,0.85,0.53,0.65,0.91,Medium
2213016,44.56,8.81,0.81,0.56,0.69,0.96,Medium
2213025,47.16,8.7,0.76,0.59,0.74,1.03,Medium
2213034,50.11,8.73,0.75,0.63,0.80,1.10,Low
2213043,53.22,8.89,0.76,0.67,0.86,1.18,Low
2213052,56.48,9.16,0.81,0.71,0.93,1.26,Low
2213061,59.82,9.37,0.84,0.76,1.00,1.35,Low
2213070,63.26,9.64,0.9,0.80,1.07,1.43,Low
2213106,45.13,8.99,0.85,0.57,0.70,0.98,Medium
2213115,46.83,8.97,0.84,0.59,0.74,1.02,Medium
2213124,49.43,8.68,0.74,0.62,0.79,1.09,Low
2213133,52.21,8.86,0.76,0.66,0.84,1.16,Low
2213142,55.46,8.85,0.74,0.70,0.91,1.24,Low
2213151,58.53,9.26,0.82,0.74,0.97,1.31,Low
2213160,62.02,9.32,0.81,0.78,1.04,1.40,Low
2213205,47.95,9.07,0.86,0.60,0.76,1.05,Medium
2213214,49.8,8.86,0.78,0.63,0.80,1.10,Low
2213223,52.04,8.93,0.79,0.66,0.84,1.15,Low
2213232,55.15,8.67,0.69,0.70,0.90,1.23,Rollish
2213241,57.98,9.08,0.78,0.73,0.96,1.30,Low
2213250,61.45,9.05,0.74,0.78,1.03,1.39,Rollish
2213304,51.06,9.13,0.85,0.64,0.82,1.13,Medium
2213313,52.84,9.12,0.83,0.67,0.86,1.17,Low
2213322,55.4,8.82,0.73,0.70,0.91,1.24,Low
2213331,57.98,9.04,0.77,0.73,0.96,1.30,Low
2213340,61.34,8.95,0.72,0.78,1.03,1.38,Rollish
2213403,54.34,9.26,0.86,0.69,0.89,1.21,Low
2213412,56.27,9.19,0.82,0.71,0.93,1.26,Low
2213421,58.48,9.29,0.83,0.74,0.97,1.31,Low
2213430,61.54,9.05,0.74,0.78,1.03,1.39,Rollish
2213502,57.76,9.52,0.9,0.73,0.96,1.29,Low
2213511,59.62,9.59,0.91,0.75,0.99,1.34,Low
2213520,62.14,9.35,0.82,0.79,1.04,1.40,Low
2213601,61.31,9.73,0.94,0.78,1.03,1.38,Low
2213610,63.28,9.75,0.92,0.80,1.07,1.43,Low
2213700,64.93,10.05,1,0.82,1.10,1.47,Low
2214006,46.48,9.2,0.9,0.58,0.73,1.01,Medium
2214015,48.54,9.22,0.89,0.61,0.77,1.06,Medium
2214024,51.12,9.13,0.85,0.64,0.82,1.13,Medium
2214033,54,9.16,0.83,0.68,0.88,1.20,Low
2214042,57.12,9.34,0.86,0.72,0.94,1.28,Low
2214051,60.32,9.55,0.89,0.76,1.01,1.36,Low
2214060,63.68,9.8,0.94,0.81,1.07,1.44,Low
2214105,49,9.37,0.93,0.62,0.78,1.08,Medium
2214114,50.86,9.24,0.88,0.64,0.82,1.12,Medium
2214123,53.23,9.29,0.87,0.67,0.86,1.18,Medium
2214132,56.2,9.11,0.8,0.71,0.92,1.26,Low
2214141,59.15,9.43,0.87,0.75,0.98,1.33,Low
2214150,62.46,9.49,0.86,0.79,1.05,1.41,Low
2214204,51.89,9.44,0.93,0.65,0.84,1.15,Medium
2214213,53.56,9.43,0.91,0.68,0.87,1.19,Medium
2214222,56.06,9.12,0.8,0.71,0.92,1.25,Low
