ID,EPC,VARIANCE,DESCRIPTION,METHOD,BESTIMATE,FASTIMATE
2007132,56.43,9.48,almost pippish,MCG,56.8,54.9
2007222,56.22,9.38,almost pippish,MCG,56.6,54.9
2007312,56.84,9.57,almost pippish,MCG,57.3,54.9
2007402,58.15,9.78,almost pippish,MCG,58.6,56.1
2008032,58.45,10,almost pippish,MCG,58.6,56.6
2008122,57.63,9.87,almost pippish,MCG,57.9,55.4
2008212,57.84,9.89,almost pippish,MCG,58.1,55.4
2008302,58.95,10.04,almost pippish,MCG,59.4,56.6
2009022,59.71,10.32,almost pippish,MCG,59.7,57.1
2009112,59.29,10.3,almost pippish,MCG,59.4,55.9
2009202,60.06,10.35,almost pippish,MCG,60.2,57.1
200A012,61.32,10.64,pippish,low checkers,50.5,57.6
200A102,61.49,10.67,pippish,low checkers,51.5,57.6
200B002,63.31,10.95,pippish,low checkers,52.0,59.3
20100A2,54.98,8.92,rollish,NNM,50.0,53.6
2010192,54.03,8.72,rollish,NNM,50.2,52.4
2010282,53.72,8.62,rollish,NNM,50.3,52.4
2010372,53.63,8.59,rollish,NNM,50.5,52.4
2010462,53.56,8.62,rollish,NNM,50.6,52.4
2010552,53.6,8.63,rollish,NNM,50.8,52.4
2010642,53.81,8.63,rollish,NNM,50.9,52.4
2010732,54.19,8.7,rollish,NNM,51.2,52.4
2010822,54.86,8.94,rollish,NNM,51.5,52.4
2010912,55.99,9.26,rollish,NNM,51.8,52.4
2010A02,57.56,9.53,rollish,NNM,52.1,53.6
2011092,54.67,8.87,rollish,NNM,50.3,52.9
2011182,53.71,8.6,rollish,NNM,50.5,51.7
2011272,53.35,8.46,rollish,NNM,50.6,51.7
2011362,53.23,8.42,rollish,NNM,50.8,51.7
2011452,53.2,8.44,rollish,NNM,50.9,51.7
2011542,53.33,8.46,rollish,NNM,51.2,51.7
2011632,53.67,8.51,rollish,NNM,51.5,51.7
2011722,54.26,8.72,rollish,NNM,51.8,51.7
2011812,55.29,9.1,rollish,NNM,52.1,51.7
2011902,56.87,9.44,rollish,NNM,52.4,52.9
2012082,54.81,8.94,rollish,NNM,50.6,53.4
2012172,53.71,8.65,rollish,NNM,50.8,52.2
2012262,53.25,8.44,rollish,NNM,50.9,52.2
2012352,53.14,8.37,rollish,NNM,51.2,52.2
2012442,53.19,8.38,rollish,NNM,51.5,52.2
2012532,53.45,8.44,rollish,NNM,51.8,52.2
2012622,53.98,8.65,rollish,NNM,52.1,52.2
2012712,55,9.03,rollish,NNM,52.4,52.2
2012802,56.6,9.38,rollish,NNM,52.7,53.4
2013072,55.21,9.05,rollish,NNM,50.9,53.9
2013162,54.01,8.76,rollish,NNM,51.2,52.7
2013252,53.49,8.49,rollish,NNM,51.5,52.7
2013342,53.4,8.37,rollish,NNM,51.8,52.7
2013432,53.57,8.41,rollish,NNM,52.1,52.7
2013522,54,8.63,rollish,NNM,52.4,52.7
2013612,54.97,9.02,rollish,NNM,52.7,52.7
2013702,56.57,9.35,rollish,NNM,53.0,53.9
2014062,55.67,9.22,rollish,NNM,51.5,54.4
2014152,54.46,8.93,rollish,NNM,51.8,53.2
2014242,53.93,8.61,rollish,NNM,52.1,53.2
2014332,53.91,8.5,rollish,NNM,52.4,53.2
2014422,54.23,8.68,rollish,NNM,52.7,53.2
2014512,55.09,9.06,rollish,NNM,53.0,53.2
2014602,56.63,9.4,rollish,NNM,53.3,54.4
2015052,56.28,9.36,almost rollish,MCG,55.7,54.9
2015142,55.09,9.12,almost rollish,MCG,54.9,53.7
2015232,54.62,8.82,almost rollish,MCG,54.7,53.7
2015322,54.73,8.84,almost rollish,MCG,54.9,53.7
2015412,55.44,9.16,almost rollish,MCG,55.7,53.7
2015502,56.87,9.49,almost rollish,MCG,56.9,54.9
2016042,57.05,9.55,almost pippish,MCG,56.7,55.4
2016132,55.97,9.36,almost pippish,MCG,55.9,54.2
2016222,55.62,9.23,almost pippish,MCG,55.7,54.2
2016312,56.12,9.39,almost pippish,MCG,56.4,54.2
2016402,57.39,9.66,almost pippish,MCG,57.7,55.4
2017032,58.03,9.79,almost pippish,MCG,57.8,55.9
2017122,57.14,9.75,almost pippish,MCG,57.0,54.7
2017212,57.17,9.78,almost pippish,MCG,57.3,54.7
2017302,58.23,9.93,almost pippish,MCG,58.5,55.9
2018022,59.27,10.15,almost pippish,MCG,58.8,56.4
2018112,58.75,10.21,almost pippish,MCG,58.6,55.2
2018202,59.39,10.25,almost pippish,MCG,59.3,56.4
2019012,60.85,10.53,pippish,low checkers,51.5,56.9
2019102,60.89,10.56,pippish,low checkers,52.5,56.9
201A002,62.8,10.84,pippish,low checkers,53.0,58.6
2020092,55.73,9,rollish,NNM,50.5,54.6
2020182,54.7,8.84,rollish,NNM,50.6,53.4
2020272,54.24,8.71,rollish,NNM,50.8,53.4
2020362,54.11,8.64,rollish,NNM,50.9,53.4
2020452,54.09,8.65,rollish,NNM,51.2,53.4
2020542,54.22,8.66,rollish,NNM,51.5,53.4
2020632,54.56,8.73,rollish,NNM,51.8,53.4
2020722,55.18,8.94,rollish,NNM,52.1,53.4
2020812,56.28,9.24,rollish,NNM,52.4,53.4
2020902,57.82,9.49,rollish,NNM,52.7,54.6
2021082,55.32,8.96,rollish,NNM,50.8,53.9
2021172,54.25,8.71,rollish,NNM,50.9,52.7
2021262,53.75,8.51,rollish,NNM,51.2,52.7
2021352,53.63,8.42,rollish,NNM,51.5,52.7
2021442,53.68,8.43,rollish,NNM,51.8,52.7
2021532,53.93,8.49,rollish,NNM,52.1,52.7
2021622,54.45,8.69,rollish,NNM,52.4,52.7
2021712,55.43,9.06,rollish,NNM,52.7,52.7
2021802,56.99,9.39,rollish,NNM,53.0,53.9
2022072,55.35,8.98,rollish,NNM,51.2,54.4
2022162,54.17,8.7,rollish,NNM,51.5,53.2
2022252,53.63,8.45,rollish,NNM,51.8,53.2
2022342,53.54,8.33,rollish,NNM,52.1,53.2
2022432,53.71,8.35,rollish,NNM,52.4,53.2
2022522,54.12,8.55,rollish,NNM,52.7,53.2
2022612,55.05,8.94,rollish,NNM,53.0,53.2
2022702,56.62,9.29,rollish,NNM,53.3,54.4
2023062,55.67,9.06,rollish,NNM,51.8,54.9
2023152,54.47,8.79,rollish,NNM,52.1,53.7
2023242,53.93,8.49,rollish,NNM,52.4,53.7
2023332,53.91,8.36,rollish,NNM,52.7,53.7
2023422,54.21,8.52,rollish,NNM,53.0,53.7
2023512,55.06,8.91,rollish,NNM,53.3,53.7
2023602,56.6,9.25,rollish,NNM,53.6,54.9
2024052,56.18,9.21,almost rollish,MCG,55.6,55.4
2024142,55.01,8.96,almost rollish,MCG,54.6,54.2
2024232,54.53,8.68,almost rollish,MCG,54.3,54.2
2024322,54.63,8.68,almost rollish,MCG,54.6,54.2
2024412,55.33,9,almost rollish,MCG,55.3,54.2
2024502,56.77,9.34,almost rollish,MCG,56.9,55.4
2025042,56.86,9.4,almost pippish,MCG,56.4,55.9
2025132,55.82,9.21,almost pippish,MCG,55.6,54.7
2025222,55.45,9.09,almost pippish,MCG,55.4,54.7
2025312,55.93,9.26,almost pippish,MCG,56.1,54.7
2025402,57.22,9.53,almost pippish,MCG,57.4,55.9
2026032,57.78,9.63,almost pippish,MCG,57.4,56.4
2026122,56.93,9.61,almost pippish,MCG,56.7,55.2
2026212,56.95,9.66,almost pippish,MCG,56.9,55.2
2026302,58.01,9.83,almost pippish,MCG,58.2,56.4
2027022,58.99,10,almost pippish,MCG,58.5,56.9
2027112,58.51,10.09,almost pippish,MCG,58.2,55.7
2027202,59.15,10.14,almost pippish,MCG,59.0,56.9
2028012,60.58,10.4,pippish,low checkers,52.5,57.4
2028102,60.65,10.45,pippish,low checkers,53.5,57.4
2029002,62.55,10.73,pippish,low checkers,54.0,59.1
2030082,56.44,9.22,rollish,NNM,50.9,55.6
2030172,55.44,9.09,rollish,NNM,51.2,54.4
2030262,54.92,8.94,rollish,NNM,51.5,54.4
2030352,54.78,8.84,rollish,NNM,51.8,54.4
2030442,54.84,8.83,rollish,NNM,52.1,54.4
2030532,55.1,8.89,rollish,NNM,52.4,54.4
2030622,55.66,9.1,rollish,NNM,52.7,54.4
2030712,56.72,9.35,rollish,NNM,53.0,54.4
2030802,58.23,9.57,rollish,NNM,53.3,55.6
2031072,55.97,9.17,rollish,NNM,51.5,54.9
2031162,54.91,8.96,rollish,NNM,51.8,53.7
2031252,54.37,8.75,rollish,NNM,52.1,53.7
2031342,54.29,8.62,rollish,NNM,52.4,53.7
2031432,54.47,8.65,rollish,NNM,52.7,53.7
2031522,54.9,8.86,rollish,NNM,53.0,53.7
2031612,55.84,9.19,rollish,NNM,53.3,53.7
2031702,57.37,9.47,rollish,NNM,53.6,54.9
2032062,55.9,9.14,rollish,NNM,52.1,55.4
2032152,54.79,8.9,rollish,NNM,52.4,54.2
2032242,54.27,8.64,rollish,NNM,52.7,54.2
2032332,54.27,8.52,rollish,NNM,53.0,54.2
2032422,54.58,8.68,rollish,NNM,53.3,54.2
2032512,55.43,9.04,rollish,NNM,53.6,54.2
2032602,56.96,9.35,rollish,NNM,53.9,55.4
2033052,56.22,9.18,almost rollish,MCG,56.1,55.9
2033142,55.14,8.94,almost rollish,MCG,55.0,54.7
2033232,54.68,8.7,almost rollish,MCG,54.5,54.7
2033322,54.8,8.71,almost rollish,MCG,54.7,54.7
2033412,55.53,9.02,almost rollish,MCG,55.8,54.7
2033502,56.98,9.32,almost rollish,MCG,57.3,55.9
2034042,56.79,9.32,almost pippish,MCG,56.5,56.4
2034132,55.83,9.15,almost pippish,MCG,55.8,55.2
2034222,55.5,9.07,almost pippish,MCG,55.5,55.2
2034312,56.01,9.23,almost pippish,MCG,56.3,55.2
2034402,57.32,9.48,almost pippish,MCG,57.5,56.4
2035032,57.62,9.56,almost pippish,MCG,57.6,56.9
