ID,EPC,VARIANCE,DESCRIPTION,METHOD,BESTIMATE,FASTIMATE
2013513,51.24,8.71,almost rollish,MCG,51.4,49.7
2013603,52.74,8.96,almost rollish,MCG,52.9,50.9
2014053,51.98,9.04,almost rollish,MCG,51.9,51.4
2014143,50.92,8.73,almost rollish,MCG,50.8,50.2
2014233,50.54,8.51,almost rollish,MCG,50.6,50.2
2014323,50.72,8.55,almost rollish,MCG,50.8,50.2
2014413,51.5,8.79,almost rollish,MCG,51.6,50.2
2014503,52.9,9.03,almost rollish,MCG,53.2,51.4
2015043,52.73,9.22,almost pippish,MCG,52.7,51.9
2015133,51.72,8.98,almost pippish,MCG,51.9,50.7
2015223,51.46,8.87,almost pippish,MCG,51.7,50.7
2015313,52.04,8.98,almost pippish,MCG,52.4,50.7
2015403,53.3,9.18,almost pippish,MCG,53.7,51.9
2016033,53.67,9.45,almost pippish,MCG,53.7,52.4
2016123,52.83,9.36,almost pippish,MCG,52.9,51.2
2016213,52.94,9.35,almost pippish,MCG,53.2,51.2
2016303,54.05,9.45,almost pippish,MCG,54.4,52.4
2017023,54.9,9.81,almost pippish,MCG,54.8,52.9
2017113,54.4,9.82,almost pippish,MCG,54.5,51.7
2017203,55.14,9.84,almost pippish,MCG,55.3,52.9
2018013,56.5,10.19,pippish,low checkers,48.5,53.4
2018103,56.6,10.2,pippish,low checkers,49.5,53.4
2019003,58.5,10.46,pippish,low checkers,50.0,55.1
2020083,51.85,9,almost rollish,MCG,51.8,51.6
2020173,50.84,8.65,almost rollish,MCG,50.7,50.4
2020263,50.42,8.43,almost rollish,MCG,50.2,50.4
2020353,50.33,8.36,almost rollish,MCG,50.1,50.4
2020443,50.39,8.36,almost rollish,MCG,50.1,50.4
2020533,50.66,8.4,almost rollish,MCG,50.6,50.4
2020623,51.18,8.6,almost rollish,MCG,51.2,50.4
2020713,52.22,8.94,almost rollish,MCG,52.2,50.4
2020803,53.9,9.27,almost rollish,MCG,53.8,51.6
2021073,51.49,8.91,almost rollish,MCG,51.5,50.9
2021163,50.45,8.64,almost rollish,MCG,50.4,49.7
2021253,50.01,8.42,almost rollish,MCG,49.9,49.7
2021343,49.97,8.3,almost rollish,MCG,49.8,49.7
2021433,50.14,8.35,almost rollish,MCG,50.1,49.7
2021523,50.59,8.54,almost rollish,MCG,50.6,49.7
2021613,51.6,8.8,almost rollish,MCG,51.7,49.7
2021703,53.2,9.03,almost rollish,MCG,53.2,50.9
2022063,51.58,8.82,almost rollish,MCG,51.4,51.4
2022153,50.48,8.6,almost rollish,MCG,50.4,50.2
2022243,50.07,8.36,almost rollish,MCG,49.8,50.2
2022333,50.1,8.27,almost rollish,MCG,49.8,50.2
2022423,50.45,8.43,almost rollish,MCG,50.3,50.2
2022513,51.36,8.68,almost rollish,MCG,51.4,50.2
2022603,52.85,8.9,almost rollish,MCG,52.9,51.4
2023053,51.99,8.89,almost rollish,MCG,51.9,51.9
2023143,50.94,8.63,almost rollish,MCG,50.8,50.7
2023233,50.54,8.43,almost rollish,MCG,50.3,50.7
2023323,50.73,8.45,almost rollish,MCG,50.5,50.7
2023413,51.5,8.66,almost rollish,MCG,51.6,50.7
2023503,52.88,8.87,almost rollish,MCG,53.1,51.9
2024043,52.64,9.06,almost pippish,MCG,52.3,52.4
2024133,51.65,8.86,almost pippish,MCG,51.6,51.2
2024223,51.38,8.76,almost pippish,MCG,51.3,51.2
2024313,51.96,8.85,almost pippish,MCG,52.1,51.2
2024403,53.2,9.02,almost pippish,MCG,53.3,52.4
2025033,53.5,9.3,almost pippish,MCG,53.4,52.9
2025123,52.69,9.23,almost pippish,MCG,52.6,51.7
2025213,52.79,9.24,almost pippish,MCG,52.9,51.7
2025303,53.89,9.31,almost pippish,MCG,54.1,52.9
2026023,54.67,9.66,almost pippish,MCG,54.4,53.4
2026113,54.21,9.7,almost pippish,MCG,54.2,52.2
2026203,54.94,9.72,almost pippish,MCG,54.9,53.4
2027013,56.26,10.05,pippish,low checkers,49.5,53.9
2027103,56.37,10.08,pippish,low checkers,50.5,53.9
2028003,58.26,10.34,pippish,low checkers,51.0,55.6
2030073,52.79,9.16,almost rollish,MCG,52.7,52.6
2030163,51.73,8.85,almost rollish,MCG,51.6,51.4
2030253,51.27,8.61,almost rollish,MCG,51.1,51.4
2030343,51.23,8.5,almost rollish,MCG,51.0,51.4
2030433,51.39,8.54,almost rollish,MCG,51.3,51.4
2030523,51.82,8.72,almost rollish,MCG,51.8,51.4
2030613,52.76,9.05,almost rollish,MCG,52.9,51.4
2030703,54.36,9.38,almost rollish,MCG,54.4,52.6
2031063,52.39,9.03,almost rollish,MCG,52.4,51.9
2031153,51.28,8.83,almost rollish,MCG,51.3,50.7
2031243,50.84,8.57,almost rollish,MCG,50.8,50.7
2031333,50.88,8.47,almost rollish,MCG,50.7,50.7
2031423,51.21,8.62,almost rollish,MCG,51.3,50.7
2031513,52.08,8.9,almost rollish,MCG,52.3,50.7
2031603,53.59,9.16,almost rollish,MCG,53.9,51.9
2032053,52.37,8.95,almost rollish,MCG,52.3,52.4
2032143,51.34,8.73,almost rollish,MCG,51.3,51.2
2032233,50.96,8.54,almost rollish,MCG,50.7,51.2
2032323,51.14,8.55,almost rollish,MCG,51.0,51.2
2032413,51.89,8.77,almost rollish,MCG,52.0,51.2
2032503,53.26,9.01,almost rollish,MCG,53.6,52.4
2033043,52.82,8.97,almost pippish,MCG,52.8,52.9
2033133,51.86,8.8,almost pippish,MCG,51.7,51.7
2033223,51.61,8.73,almost pippish,MCG,51.5,51.7
2033313,52.17,8.82,almost pippish,MCG,52.2,51.7
2033403,53.4,9.02,almost pippish,MCG,53.8,52.9
2034033,53.55,9.16,almost pippish,MCG,53.5,53.4
2034123,52.77,9.15,almost pippish,MCG,52.8,52.2
2034213,52.88,9.19,almost pippish,MCG,53.0,52.2
2034303,53.96,9.3,almost pippish,MCG,54.3,53.4
2035023,54.61,9.52,almost pippish,MCG,54.6,53.9
2035113,54.19,9.64,almost pippish,MCG,54.3,52.7
2035203,54.92,9.71,almost pippish,MCG,55.1,53.9
2036013,56.13,9.96,pippish,low checkers,50.5,54.4
2036103,56.3,10.06,pippish,low checkers,51.5,54.4
2037003,58.13,10.29,pippish,low checkers,52.0,56.1
2040063,53.86,9.31,almost rollish,MCG,53.6,53.6
2040153,52.78,9.13,almost rollish,MCG,52.5,52.4
2040243,52.34,8.9,almost rollish,MCG,51.9,52.4
2040333,52.38,8.79,almost rollish,MCG,52.2,52.4
2040423,52.69,8.94,almost rollish,MCG,52.4,52.4
2040513,53.51,9.24,almost rollish,MCG,53.5,52.4
2040603,55.01,9.55,almost rollish,MCG,55.1,53.6
2041053,53.33,9.25,almost rollish,MCG,53.3,52.9
2041143,52.31,9.11,almost rollish,MCG,52.2,51.7
2041233,51.93,8.91,almost rollish,MCG,51.9,51.7
2041323,52.1,8.91,almost rollish,MCG,52.2,51.7
2041413,52.84,9.15,almost rollish,MCG,52.9,51.7
2041503,54.23,9.4,almost rollish,MCG,54.5,52.9
2042043,53.33,9.1,almost pippish,MCG,53.2,53.4
2042133,52.41,9.03,almost pippish,MCG,52.4,52.2
2042223,52.18,9.01,almost pippish,MCG,52.2,52.2
2042313,52.74,9.1,almost pippish,MCG,52.9,52.2
2042403,53.98,9.31,almost pippish,MCG,54.2,53.4
2043033,53.84,9.14,almost pippish,MCG,53.9,53.9
2043123,53.1,9.21,almost pippish,MCG,53.2,52.7
2043213,53.25,9.31,almost pippish,MCG,53.4,52.7
2043303,54.33,9.42,almost pippish,MCG,54.7,53.9
2044023,54.77,9.45,almost pippish,MCG,54.7,54.4
2044113,54.4,9.67,almost pippish,MCG,54.4,53.2
2044203,55.16,9.8,almost pippish,MCG,55.2,54.4
2045013,56.19,9.94,pippish,low checkers,51.5,54.9
2045103,56.43,10.12,pippish,low checkers,52.5,54.9
2046003,58.16,10.31,pippish,low checkers,53.0,56.6
2050053,54.94,9.55,almost rollish,MCG,54.5,54.6
2050143,53.99,9.41,almost rollish,MCG,53.7,53.4
2050233,53.63,9.25,almost rollish,MCG,53.5,53.4
2050323,53.78,9.27,almost rollish,MCG,53.7,53.4
2050413,54.46,9.49,almost rollish,MCG,54.5,53.4
2050503,55.8,9.74,almost rollish,MCG,55.7,54.6
2051043,54.49,9.45,almost pippish,MCG,54.5,53.9
2051133,53.62,9.44,almost pippish,MCG,53.7,52.7
2051223,53.38,9.42,almost pippish,MCG,53.5,52.7
2051313,53.92,9.5,almost pippish,MCG,54.2,52.7
2051403,55.17,9.69,almost pippish,MCG,55.5,53.9
2052033,54.52,9.37,almost pippish,MCG,54.7,54.4
2052123,53.85,9.52,almost pippish,MCG,54.0,53.2
2052213,54.02,9.64,almost pippish,MCG,54.2,53.2
2052303,55.1,9.75,almost pippish,MCG,55.5,54.4
2053023,55.19,9.54,almost pippish,MCG,55.5,54.9
2053113,54.93,9.84,almost pippish,MCG,55.2,53.7
2053203,55.72,10,almost pippish,MCG,56.0,54.9
2054013,56.51,10,pippish,low checkers,52.5,55.4
2054103,56.86,10.26,pippish,low checkers,53.5,55.4
2055003,58.43,10.39,pippish,low checkers,54.0,57.1
2060043,56.21,9.79,almost pippish,MCG,55.9,55.6
2060133,55.42,9.76,almost pippish,MCG,55.2,54.4
2060223,55.2,9.75,almost pippish,MCG,54.9,54.4
2060313,55.67,9.84,almost pippish,MCG,55.7,54.4
2060403,56.83,9.99,almost pippish,MCG,56.9,55.6
2061033,55.85,9.78,almost pippish,MCG,55.9,54.9
2061123,55.25,9.93,almost pippish,MCG,55.2,53.7
2061213,55.38,10.03,almost pippish,MCG,55.4,53.7
2061303,56.41,10.08,almost pippish,MCG,56.7,54.9
2062023,56.07,9.84,almost pippish,MCG,56.2,55.4
2062113,55.87,10.17,almost pippish,MCG,55.9,54.2
2062203,56.66,10.31,almost pippish,MCG,56.7,55.4
2063013,57.13,10.17,pippish,low checkers,53.5,55.9
2063103,57.61,10.49,pippish,low checkers,54.5,55.9
2064003,58.99,10.57,pippish,low checkers,55.0,57.6
2070033,57.69,10.11,almost pippish,MCG,57.5,56.6
2070123,57.14,10.23,almost pippish,MCG,56.7,55.4
2070213,57.24,10.33,almost pippish,MCG,57.0,55.4
2070303,58.13,10.34,almost pippish,MCG,58.2,56.6
2071023,57.55,10.24,almost pippish,MCG,57.5,55.9
2071113,57.37,10.52,almost pippish,MCG,57.2,54.7
2071203,58.03,10.57,almost pippish,MCG,58.0,55.9
2072013,58.17,10.48,pippish,low checkers,54.5,56.4
2072103,58.67,10.76,pippish,low checkers,55.5,56.4
2073003,59.84,10.81,pippish,low checkers,56.0,58.1
2080023,59.48,10.54,almost pippish,MCG,59.0,57.6
2080113,59.3,10.77,almost pippish,MCG,58.7,56.4
2080203,59.81,10.79,almost pippish,MCG,59.5,57.6
2081013,59.72,10.81,pippish,low checkers,55.5,56.9
2081103,60.09,11,pippish,low checkers,56.5,56.9
2082003,60.98,11.06,pippish,low checkers,57.0,58.6
2090013,61.67,11.04,pippish,low checkers,56.5,58.6
2090103,61.91,11.2,pippish,low checkers,57.5,58.6
2091003,62.45,11.27,pippish,low checkers,58.0,59.1
20A0003,64.29,11.45,pippish,low checkers,59.0,60.8
2100093,51.3,8.64,almost rollish,MCG,52.2,51.6
2100183,50.75,8.46,almost rollish,MCG,51.1,50.4
2100273,50.54,8.39,almost rollish,MCG,50.6,50.4
2100363,50.43,8.39,almost rollish,MCG,50.5,50.4
2100453,50.44,8.42,almost rollish,MCG,50.5,50.4
2100543,50.64,8.43,almost rollish,MCG,50.7,50.4
2100633,51.05,8.53,almost rollish,MCG,51.3,50.4
2100723,51.74,8.87,almost rollish,MCG,51.8,50.4
2100813,52.98,9.27,almost rollish,MCG,52.9,50.4
2100903,54.71,9.51,almost rollish,MCG,54.4,51.6
2101083,51.12,8.56,almost rollish,MCG,51.9,50.9
2101173,50.42,8.44,almost rollish,MCG,50.8,49.7
2101263,50.18,8.38,almost rollish,MCG,50.3,49.7
2101353,50.1,8.36,almost rollish,MCG,50.2,49.7
2101443,50.22,8.38,almost rollish,MCG,50.2,49.7
2101533,50.56,8.48,almost rollish,MCG,50.7,49.7
2101623,51.2,8.78,almost rollish,MCG,51.3,49.7
2101713,52.4,9.15,almost rollish,MCG,52.3,49.7
2101803,54.14,9.38,almost rollish,MCG,53.9,50.9
2102073,51.19,8.55,almost rollish,MCG,51.8,51.4
2102163,50.46,8.41,almost rollish,MCG,50.8,50.2
2102253,50.21,8.33,almost rollish,MCG,50.2,50.2
2102343,50.21,8.29,almost rollish,MCG,50.2,50.2
2102433,50.45,8.4,almost rollish,MCG,50.4,50.2
2102523,51.01,8.69,almost rollish,MCG,51.0,50.2
2102613,52.16,9.06,almost rollish,MCG,52.0,50.2
2102703,53.87,9.32,almost rollish,MCG,53.6,51.4
2103063,51.63,8.63,almost rollish,MCG,52.3,51.9
2103153,50.78,8.47,almost rollish,MCG,51.2,50.7
2103243,50.57,8.34,almost rollish,MCG,50.7,50.7
2103333,50.68,8.36,almost rollish,MCG,50.6,50.7
2103423,51.13,8.65,almost rollish,MCG,51.2,50.7
2103513,52.19,9.03,almost rollish,MCG,52.2,50.7
2103603,53.85,9.3,almost rollish,MCG,53.8,51.9
2104053,52.18,8.82,almost rollish,MCG,52.7,52.4
2104143,51.36,8.61,almost rollish,MCG,51.7,51.2
2104233,51.18,8.54,almost rollish,MCG,51.4,51.2
2104323,51.47,8.72,almost rollish,MCG,51.7,51.2
2104413,52.41,9.08,almost rollish,MCG,52.4,51.2
2104503,53.98,9.35,almost rollish,MCG,54.0,52.4
2105043,52.93,9.03,almost pippish,MCG,53.5,52.9
2105133,52.17,8.88,almost pippish,MCG,52.7,51.7
2105223,52.14,8.95,almost pippish,MCG,52.5,51.7
2105313,52.9,9.23,almost pippish,MCG,53.2,51.7
2105403,54.35,9.46,almost pippish,MCG,54.5,52.9
2106033,53.9,9.3,almost pippish,MCG,54.5,53.4
2106123,53.31,9.33,almost pippish,MCG,53.8,52.2
2106213,53.73,9.5,almost pippish,MCG,54.0,52.2
2106303,55.03,9.69,almost pippish,MCG,55.3,53.4
2107023,55.18,9.72,almost pippish,MCG,55.6,53.9
2107113,55.01,9.88,almost pippish,MCG,55.3,52.7
2107203,56.04,10.01,almost pippish,MCG,56.1,53.9
2108013,56.87,10.17,pippish,low checkers,49.5,54.4
2108103,57.37,10.3,pippish,low checkers,50.5,54.4
2109003,59.04,10.5,pippish,low checkers,51.0,56.1
2110083,51.77,8.83,almost rollish,MCG,52.1,51.4
2110173,50.77,8.53,almost rollish,MCG,51.0,50.2
2110263,50.43,8.38,almost rollish,MCG,50.4,50.2
2110353,50.34,8.32,almost rollish,MCG,50.4,50.2
2110443,50.42,8.33,almost rollish,MCG,50.3,50.2
2110533,50.72,8.41,almost rollish,MCG,50.9,50.2
2110623,51.32,8.68,almost rollish,MCG,51.4,50.2
2110713,52.47,9.04,almost rollish,MCG,52.5,50.2
2110803,54.2,9.33,almost rollish,MCG,54.1,51.4
2111073,51.35,8.74,almost rollish,MCG,51.8,50.7
2111163,50.27,8.57,rollish,NNM,46.7,49.5
2111253,49.85,8.39,rollish,NNM,47.0,49.5
2111343,49.86,8.3,rollish,NNM,47.3,49.5
2111433,50.06,8.38,rollish,NNM,47.7,49.5
2111523,50.6,8.67,rollish,NNM,48.0,49.5
2111613,51.78,8.99,rollish,NNM,48.3,49.5
2111703,53.55,9.16,almost rollish,MCG,53.5,50.7
2112063,51.47,8.66,almost rollish,MCG,51.7,51.2
2112153,50.3,8.54,almost rollish,MCG,50.7,50
2112243,49.92,8.34,almost rollish,MCG,50.1,50
2112333,50,8.29,almost rollish,MCG,50.1,50
2112423,50.43,8.56,almost rollish,MCG,50.6,50
2112513,51.52,8.89,almost rollish,MCG,51.7,50
2112603,53.23,9.06,almost rollish,MCG,53.2,51.2
2113053,51.89,8.71,almost rollish,MCG,52.2,51.7
2113143,50.82,8.56,almost rollish,MCG,51.1,50.5
2113233,50.46,8.43,almost rollish,MCG,50.6,50.5
2113323,50.73,8.56,almost rollish,MCG,50.8,50.5
2113413,51.68,8.86,almost rollish,MCG,51.8,50.5
2113503,53.28,9.04,almost rollish,MCG,53.4,51.7
2114043,52.57,8.9,almost pippish,MCG,52.6,52.2
2114133,51.57,8.81,almost pippish,MCG,51.8,51
2114223,51.37,8.85,almost pippish,MCG,51.6,51
2114313,52.15,9.03,almost pippish,MCG,52.3,51
2114403,53.62,9.18,almost pippish,MCG,53.6,52.2
2115033,53.47,9.16,almost pippish,MCG,53.7,52.7
2115123,52.67,9.26,almost pippish,MCG,52.9,51.5
2115213,52.96,9.37,almost pippish,MCG,53.2,51.5
2115303,54.3,9.47,almost pippish,MCG,54.4,52.7
2116023,54.7,9.57,almost pippish,MCG,54.7,53.2
2116113,54.32,9.74,almost pippish,MCG,54.4,52
2116203,55.32,9.84,almost pippish,MCG,55.2,53.2
2117013,56.34,10,pippish,low checkers,50.5,53.7
2117103,56.65,10.09,pippish,low checkers,51.5,53.7
2118003,58.39,10.29,pippish,low checkers,52.0,55.4
2120073,52.27,8.91,almost rollish,MCG,52.5,52.4
2120163,51.26,8.63,almost rollish,MCG,51.4,51.2
2120253,50.82,8.42,almost rollish,MCG,50.9,51.2
2120343,50.81,8.31,almost rollish,MCG,50.8,51.2
2120433,51,8.38,almost rollish,MCG,51.1,51.2
2120523,51.5,8.63,almost rollish,MCG,51.6,51.2
2120613,52.59,8.99,almost rollish,MCG,52.7,51.2
2120703,54.29,9.27,almost rollish,MCG,54.2,52.4
2121063,51.88,8.85,almost rollish,MCG,52.2,51.7
2121153,50.66,8.69,almost rollish,MCG,51.1,50.5
2121243,50.24,8.45,almost rollish,MCG,50.6,50.5
2121333,50.31,8.38,almost rollish,MCG,50.5,50.5
2121423,50.74,8.63,almost rollish,MCG,51.1,50.5
2121513,51.84,8.95,almost rollish,MCG,52.1,50.5
2121603,53.57,9.1,almost rollish,MCG,53.7,51.7
2122053,51.91,8.78,almost rollish,MCG,52.1,52.2
2122143,50.76,8.63,almost rollish,MCG,51.1,51
2122233,50.34,8.46,almost rollish,MCG,50.5,51
2122323,50.62,8.58,almost rollish,MCG,50.8,51
2122413,51.64,8.86,almost rollish,MCG,51.8,51
2122503,53.29,8.99,almost rollish,MCG,53.4,52.2
2123043,52.42,8.8,almost pippish,MCG,52.6,52.7
2123133,51.37,8.73,almost pippish,MCG,51.5,51.5
2123223,51.15,8.76,almost pippish,MCG,51.3,51.5
2123313,51.98,8.92,almost pippish,MCG,52.0,51.5
2123403,53.49,9.03,almost pippish,MCG,53.6,52.7
2124033,53.2,9.06,almost pippish,MCG,53.3,53.2
2124123,52.39,9.17,almost pippish,MCG,52.6,52
2124213,52.7,9.28,almost pippish,MCG,52.8,52
2124303,54.07,9.33,almost pippish,MCG,54.1,53.2
2125023,54.36,9.48,almost pippish,MCG,54.4,53.7
2125113,54.02,9.67,almost pippish,MCG,54.1,52.5
2125203,55.04,9.73,almost pippish,MCG,54.9,53.7
2126013,55.99,9.92,pippish,low checkers,51.5,54.2
2126103,56.33,9.99,pippish,low checkers,52.5,54.2
2127003,58.06,10.17,pippish,low checkers,53.0,55.9
2130063,53.1,8.94,almost rollish,MCG,53.4,53.4
2130153,52.09,8.76,almost rollish,MCG,52.3,52.2
2130243,51.71,8.55,almost rollish,MCG,51.8,52.2
2130333,51.78,8.48,almost rollish,MCG,51.7,52.2
2130423,52.17,8.7,almost rollish,MCG,52.3,52.2
2130513,53.14,9.05,almost rollish,MCG,53.3,52.2
2130603,54.78,9.35,almost rollish,MCG,54.9,53.4
2131053,52.65,8.96,almost rollish,MCG,53.1,52.7
2131143,51.6,8.83,almost rollish,MCG,52.0,51.5
2131233,51.23,8.69,almost rollish,MCG,51.5,51.5
2131323,51.49,8.78,almost rollish,MCG,51.7,51.5
2131413,52.43,9.06,almost rollish,MCG,52.8,51.5
2131503,54.04,9.24,almost rollish,MCG,54.3,52.7
2132043,52.75,8.88,almost pippish,MCG,53.0,53.2
2132133,51.75,8.88,almost pippish,MCG,52.0,52
2132223,51.54,8.93,almost pippish,MCG,51.7,52
2132313,52.35,9.09,almost pippish,MCG,52.5,52
2132403,53.87,9.2,almost pippish,MCG,54.0,53.2
2133033,53.34,8.97,almost pippish,MCG,53.5,53.7
2133123,52.57,9.16,almost pippish,MCG,52.7,52.5
2133213,52.91,9.32,almost pippish,MCG,53.0,52.5
2133303,54.28,9.36,almost pippish,MCG,54.2,53.7
2134023,54.36,9.37,almost pippish,MCG,54.5,54.2
2134113,54.1,9.65,almost pippish,MCG,54.3,53
2134203,55.13,9.75,almost pippish,MCG,55.0,54.2
2135013,55.91,9.86,pippish,low checkers,52.5,54.7
2135103,56.34,10.01,pippish,low checkers,53.5,54.7
2136003,57.96,10.17,pippish,low checkers,54.0,56.4
2140053,54.03,9.17,almost rollish,MCG,54.3,54.4
2140143,53.16,9.03,almost rollish,MCG,53.2,53.2
2140233,52.87,8.91,almost rollish,MCG,52.9,53.2
2140323,53.1,9.01,almost rollish,MCG,53.2,53.2
2140413,53.94,9.3,almost rollish,MCG,53.9,53.2
2140503,55.45,9.56,almost rollish,MCG,55.5,54.4
2141043,53.69,9.13,almost pippish,MCG,53.9,53.7
2141133,52.81,9.2,almost pippish,MCG,53.2,52.5
2141223,52.65,9.28,almost pippish,MCG,52.9,52.5
2141313,53.4,9.41,almost pippish,MCG,53.7,52.5
2141403,54.87,9.54,almost pippish,MCG,54.9,53.7
2142033,53.86,9.15,almost pippish,MCG,54.2,54.2
2142123,53.17,9.45,almost pippish,MCG,53.4,53
2142213,53.54,9.64,almost pippish,MCG,53.7,53
2142303,54.89,9.66,almost pippish,MCG,54.9,54.2
2143023,54.67,9.42,almost pippish,MCG,54.9,54.7
2143113,54.51,9.83,almost pippish,MCG,54.7,53.5
2143203,55.56,9.94,almost pippish,MCG,55.4,54.7
2144013,56.12,9.93,pippish,low checkers,53.5,55.2
2144103,56.67,10.18,pippish,low checkers,54.5,55.2
2145003,58.16,10.29,pippish,low checkers,55.0,56.9
2150043,55.24,9.44,almost pippish,MCG,55.5,55.4
2150133,54.53,9.44,almost pippish,MCG,54.7,54.2
2150223,54.43,9.53,almost pippish,MCG,54.5,54.2
2150313,55.06,9.68,almost pippish,MCG,55.2,54.2
2150403,56.39,9.83,almost pippish,MCG,56.5,55.4
2151033,55,9.49,almost pippish,MCG,55.5,54.7
2151123,54.44,9.8,almost pippish,MCG,54.7,53.5
2151213,54.77,9.96,almost pippish,MCG,55.0,53.5
2151303,56.04,9.98,almost pippish,MCG,56.2,54.7
2152023,55.4,9.7,almost pippish,MCG,55.7,55.2
2152113,55.33,10.16,almost pippish,MCG,55.5,54
2152203,56.38,10.25,almost pippish,MCG,56.2,55.2
2153013,56.67,10.12,pippish,low checkers,54.5,55.7
2153103,57.37,10.43,pippish,low checkers,55.5,55.7
2154003,58.69,10.5,pippish,low checkers,56.0,57.4
2160033,56.71,9.83,almost pippish,MCG,56.9,56.4
2160123,56.29,10.02,almost pippish,MCG,56.2,55.2
2160213,56.57,10.17,almost pippish,MCG,56.4,55.2
2160303,57.63,10.19,almost pippish,MCG,57.7,56.4
2161023,56.74,10.06,almost pippish,MCG,56.9,55.7
2161113,56.71,10.45,almost pippish,MCG,56.7,54.5
2161203,57.61,10.49,almost pippish,MCG,57.4,55.7
2162013,57.61,10.42,pippish,low checkers,55.5,56.2
2162103,58.34,10.71,pippish,low checkers,56.5,56.2
2163003,59.53,10.74,pippish,low checkers,57.0,57.9
2170023,58.57,10.37,almost pippish,MCG,58.5,57.4
2170113,58.57,10.63,almost pippish,MCG,58.2,56.2
2170203,59.24,10.63,almost pippish,MCG,59.0,57.4
2171013,59.05,10.7,pippish,low checkers,56.5,56.7
2171103,59.62,10.9,pippish,low checkers,57.5,56.7
2172003,60.6,11,pippish,low checkers,58.0,58.4
2180013,60.92,10.92,pippish,low checkers,57.5,58.4
2180103,61.3,11.05,pippish,low checkers,58.5,58.4
2181003,61.95,11.17,pippish,low checkers,59.0,58.9
2190003,63.66,11.31,pippish,low checkers,60.0,60.6
2200083,52.81,9.01,almost rollish,MCG,53.4,53.6
2200173,52.18,8.85,almost rollish,MCG,52.3,52.4
2200263,51.92,8.75,almost rollish,MCG,51.8,52.4
2200353,51.84,8.74,almost rollish,MCG,51.7,52.4
2200443,51.94,8.76,almost rollish,MCG,51.7,52.4
2200533,52.28,8.84,almost rollish,MCG,52.2,52.4
2200623,52.9,9.08,almost rollish,MCG,52.8,52.4
2200713,53.99,9.38,almost rollish,MCG,53.8,52.4
2200803,55.66,9.64,almost rollish,MCG,55.4,53.6
2201073,52.44,8.88,almost rollish,MCG,53.1,52.9
2201163,51.71,8.74,almost rollish,MCG,52.0,51.7
2201253,51.45,8.67,almost rollish,MCG,51.5,51.7
2201343,51.46,8.63,almost rollish,MCG,51.4,51.7
2201433,51.69,8.73,almost rollish,MCG,51.7,51.7
2201523,52.24,8.99,almost rollish,MCG,52.2,51.7
2201613,53.33,9.27,almost rollish,MCG,53.3,51.7
2201703,54.98,9.49,almost rollish,MCG,54.8,52.9
2202063,52.57,8.82,almost rollish,MCG,53.0,53.4
2202153,51.71,8.7,almost rollish,MCG,52.0,52.2
2202243,51.49,8.59,almost rollish,MCG,51.4,52.2
2202333,51.59,8.61,almost rollish,MCG,51.4,52.2
2202423,52.03,8.86,almost rollish,MCG,51.9,52.2
2202513,53.04,9.19,almost rollish,MCG,53.0,52.2
2202603,54.65,9.4,almost rollish,MCG,54.5,53.4
2203053,52.98,8.91,almost rollish,MCG,53.5,53.9
2203143,52.16,8.73,almost rollish,MCG,52.4,52.7
2203233,51.98,8.66,almost rollish,MCG,51.9,52.7
2203323,52.26,8.83,almost rollish,MCG,52.1,52.7
2203413,53.14,9.14,almost rollish,MCG,53.2,52.7
2203503,54.67,9.38,almost rollish,MCG,54.7,53.9
2204043,53.63,9.1,almost pippish,MCG,53.9,54.4
2204133,52.87,8.96,almost pippish,MCG,53.2,53.2
2204223,52.85,9.04,almost pippish,MCG,52.9,53.2
2204313,53.56,9.26,almost pippish,MCG,53.7,53.2
2204403,54.96,9.48,almost pippish,MCG,54.9,54.4
2205033,54.53,9.37,almost pippish,MCG,55.0,54.9
2205123,53.94,9.39,almost pippish,MCG,54.2,53.7
2205213,54.34,9.55,almost pippish,MCG,54.5,53.7
2205303,55.57,9.7,almost pippish,MCG,55.7,54.9
2206023,55.76,9.77,almost pippish,MCG,56.0,55.4
2206113,55.57,9.93,almost pippish,MCG,55.8,54.2
2206203,56.54,10.04,almost pippish,MCG,56.5,55.4
2207013,57.43,10.23,pippish,low checkers,51.5,55.9
2207103,57.86,10.31,pippish,low checkers,52.5,55.9
2208003,59.54,10.53,pippish,low checkers,53.0,57.6
2210073,52.96,8.98,almost rollish,MCG,53.3,53.4
2210163,52.02,8.74,almost rollish,MCG,52.2,52.2
2210253,51.65,8.56,almost rollish,MCG,51.7,52.2
2210343,51.64,8.48,almost rollish,MCG,51.6,52.2
2210433,51.82,8.57,almost rollish,MCG,51.8,52.2
2210523,52.35,8.84,almost rollish,MCG,52.4,52.2
2210613,53.44,9.19,almost rollish,MCG,53.4,52.2
2210703,55.14,9.47,almost rollish,MCG,55.0,53.4
2211063,52.63,8.91,almost rollish,MCG,52.9,52.7
2211153,51.48,8.78,almost rollish,MCG,51.9,51.5
2211243,51.13,8.61,almost rollish,MCG,51.3,51.5
2211333,51.21,8.58,almost rollish,MCG,51.3,51.5
2211423,51.64,8.84,almost rollish,MCG,51.8,51.5
2211513,52.72,9.16,almost rollish,MCG,52.9,51.5
2211603,54.43,9.32,almost rollish,MCG,54.4,52.7
2212053,52.69,8.84,almost rollish,MCG,52.9,53.2
